             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          683.8823265633
          20.0000000000         2395.4115527415
          30.0000000000         4692.1725738695
          40.0000000000         6960.7252244986
          50.0000000000         8553.4006975952
          60.0000000000         8943.9989370217
          70.0000000000         8098.0208745829
          80.0000000000         6324.3329393477
          90.0000000000         4138.4205222704
         100.0000000000         2068.1613739156
         110.0000000000          582.7480720835
         120.0000000000           24.5142921631
         130.0000000000          567.4991688384
         140.0000000000         2141.8696569377
         150.0000000000         4448.8281194265
         160.0000000000         6837.8019466916
         170.0000000000         8550.7095601950
         180.0000000000         8972.3359569964
         190.0000000000         8023.0444751083
         200.0000000000         6108.4302094936
         210.0000000000         3868.4403718270
         220.0000000000         1841.8511626945
         230.0000000000          459.9009337134
         240.0000000000            1.1919768664
         250.0000000000          574.4488670441
         260.0000000000         2138.2385906782
         270.0000000000         4360.0652203328
         280.0000000000         6700.0971045970
         290.0000000000         8429.3274507738
         300.0000000000         8954.7083509626
         310.0000000000         8140.8138968732
         320.0000000000         6306.4060262121
         330.0000000000         4025.8574668849
         340.0000000000         1922.1494503653
         350.0000000000          468.4915692892
         360.0000000000           16.1652025570
