             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          475.1393347717
          20.0000000000         1651.8148573092
          30.0000000000         3279.2703270996
          40.0000000000         4999.3796866667
          50.0000000000         6297.2194022031
          60.0000000000         6790.2042595801
          70.0000000000         6262.8332306512
          80.0000000000         4833.2774381423
          90.0000000000         3020.9762765134
         100.0000000000         1341.3206185293
         110.0000000000          257.2202210087
         120.0000000000            7.4406665613
         130.0000000000          643.2212102971
         140.0000000000         1974.7854714036
         150.0000000000         3660.0990814444
         160.0000000000         5285.3438803018
         170.0000000000         6440.4062879332
         180.0000000000         6787.8570627551
         190.0000000000         6254.5944120669
         200.0000000000         4987.5465588800
         210.0000000000         3284.4478126891
         220.0000000000         1634.9775267328
         230.0000000000          460.5415556199
         240.0000000000            6.6425145383
         250.0000000000          435.2317369059
         260.0000000000         1657.1367455054
         270.0000000000         3380.1262785528
         280.0000000000         5148.4109352107
         290.0000000000         6433.7979048306
         300.0000000000         6825.2389297533
         310.0000000000         6217.0103814789
         320.0000000000         4795.5253756987
         330.0000000000         3033.4552773000
         340.0000000000         1432.0106347344
         350.0000000000          379.9177059771
         360.0000000000           81.7396870724
