             angle (deg)             energy (J/mol)
           0.0000000000           29.4292278569
          10.0000000000          534.1290655825
          20.0000000000         2029.4746334078
          30.0000000000         4376.9419332891
          40.0000000000         7262.4634211700
          50.0000000000        10165.5206225168
          60.0000000000        12577.2785374791
          70.0000000000        14061.6048823732
          80.0000000000        14389.2961451372
          90.0000000000        13617.3939358430
         100.0000000000        11983.9181949668
         110.0000000000         9859.8835585969
         120.0000000000         7675.7170988180
         130.0000000000         5836.1396191329
         140.0000000000         4608.1119448423
         150.0000000000         4145.8821927577
         160.0000000000         4402.5221784642
         170.0000000000         5058.1567521487
         180.0000000000         5736.8537164078
         190.0000000000         6098.1435010369
         200.0000000000         5940.1803019633
         210.0000000000         5275.3459769093
         220.0000000000         4284.4219437831
         230.0000000000         3275.9228148111
         240.0000000000         2540.5833164169
         250.0000000000         2278.0097010992
         260.0000000000         2555.6563110917
         270.0000000000         3281.7277949465
         280.0000000000         4231.9644566380
         290.0000000000         5077.0445980695
         300.0000000000         5494.1393821322
         310.0000000000         5276.3567942612
         320.0000000000         4382.9595790519
         330.0000000000         3021.6195238920
         340.0000000000         1561.5764272290
         350.0000000000          429.6893068153
         360.0000000000            0.0000000000
