             angle (deg)             energy (J/mol)
           0.0000000000           88.5581101811
          10.0000000000          731.2358420838
          20.0000000000         2439.7719984370
          30.0000000000         4843.4958837277
          40.0000000000         7348.5036770491
          50.0000000000         9256.9768986679
          60.0000000000         9936.2593494719
          70.0000000000         9144.5766241938
          80.0000000000         7135.7567980805
          90.0000000000         4594.3175686577
         100.0000000000         2230.6509346345
         110.0000000000          599.0944341550
         120.0000000000           57.9946662915
         130.0000000000          734.9430477802
         140.0000000000         2453.1279161556
         150.0000000000         4806.8727862233
         160.0000000000         7248.7766903859
         170.0000000000         9122.2519988886
         180.0000000000         9880.7195254059
         190.0000000000         9196.7190514045
         200.0000000000         7287.1588728476
         210.0000000000         4731.3870397900
         220.0000000000         2285.8730731447
         230.0000000000          579.6211016893
         240.0000000000            0.0000000000
         250.0000000000          665.5405846582
         260.0000000000         2401.7337564012
         270.0000000000         4806.0168732173
         280.0000000000         7323.9053688835
         290.0000000000         9242.5419004275
         300.0000000000         9911.2173317470
         310.0000000000         9145.8788720821
         320.0000000000         7196.7235302711
         330.0000000000         4668.2253896482
         340.0000000000         2277.4215890822
         350.0000000000          621.1932664724
         360.0000000000           42.5961096447
