             angle (deg)             energy (J/mol)
           0.0000000000           17.5330879938
          10.0000000000          810.8488742256
          20.0000000000         3386.2043107708
          30.0000000000         7398.5772103121
          40.0000000000        12401.4068040222
          50.0000000000        17913.3523260814
          60.0000000000        23350.3818352704
          70.0000000000        26652.0765566595
          80.0000000000        25030.2186527690
          90.0000000000        22664.6537822751
         100.0000000000        19985.4178183389
         110.0000000000        17309.3114502690
         120.0000000000        14879.3430683494
         130.0000000000        12836.2946005022
         140.0000000000        11211.3281046715
         150.0000000000        10014.9954646817
         160.0000000000         9196.2070789737
         170.0000000000         8656.6301010421
         180.0000000000         8332.8272034890
         190.0000000000         8151.0060872898
         200.0000000000         8030.5796597096
         210.0000000000         7899.6302287965
         220.0000000000         7712.5239814582
         230.0000000000         7444.5838443218
         240.0000000000         7112.7154112826
         250.0000000000         6743.6909042331
         260.0000000000         6377.6358374612
         270.0000000000         6065.5295418028
         280.0000000000         5844.2917962427
         290.0000000000         5769.8483732741
         300.0000000000         5902.1709405682
         310.0000000000         6271.6601611032
         320.0000000000         6870.6259459317
         330.0000000000         7608.3704019847
         340.0000000000         3389.7329825739
         350.0000000000         1037.8233370497
         360.0000000000            0.0000000000
