             angle (deg)             energy (J/mol)
           0.0000000000           91.7507181238
          10.0000000000         1468.6022262752
          20.0000000000         4487.5516169914
          30.0000000000         8450.4364696653
          40.0000000000        12301.5065344100
          50.0000000000        14932.0919860309
          60.0000000000        15508.5257308710
          70.0000000000        13884.3390086093
          80.0000000000        10563.9139711174
          90.0000000000         6558.2964827575
         100.0000000000         2944.6766252245
         110.0000000000          579.3506753774
         120.0000000000           16.2964776540
         130.0000000000         1456.6010664837
         140.0000000000         4466.4767296848
         150.0000000000         8378.6736820594
         160.0000000000        12206.9360295595
         170.0000000000        14848.2624010849
         180.0000000000        15545.2065895076
         190.0000000000        14035.0111943741
         200.0000000000        10786.5721121530
         210.0000000000         6746.3767906892
         220.0000000000         3044.0649224059
         230.0000000000          600.5594631039
         240.0000000000            0.0000000000
         250.0000000000         1395.4216688150
         260.0000000000         4377.9238704479
         270.0000000000         8242.4706259707
         280.0000000000        12065.5686152418
         290.0000000000        14775.0109549827
         300.0000000000        15498.9032740173
         310.0000000000        13973.9184381799
         320.0000000000        10692.7209942673
         330.0000000000         6696.8047278193
         340.0000000000         3041.9408929474
         350.0000000000          631.8501705238
         360.0000000000           15.8343896407
