             angle (deg)             energy (J/mol)
           0.0000000000            9.0343449859
          10.0000000000          603.8413379932
          20.0000000000         2407.1764176569
          30.0000000000         5162.3313355482
          40.0000000000         8475.8250532883
          50.0000000000         8895.1725161360
          60.0000000000        10888.7276861716
          70.0000000000        11778.9112896615
          80.0000000000        11156.7045802158
          90.0000000000         9112.4483825204
         100.0000000000         6315.9628458156
         110.0000000000         3666.2007432096
         120.0000000000         1731.8584716499
         130.0000000000          593.1240474868
         140.0000000000          140.6506529742
         150.0000000000          340.1046261513
         160.0000000000         1048.2229420004
         170.0000000000         2538.6404466221
         180.0000000000         4912.9167254527
         190.0000000000         8164.2281045886
         200.0000000000        12187.9641674870
         210.0000000000        16693.6947454721
         220.0000000000        21221.8943512200
         230.0000000000        25308.3037212275
         240.0000000000        28388.8132070953
         250.0000000000        30048.5229425629
         260.0000000000        30114.4571204860
         270.0000000000        28637.6869641193
         280.0000000000        25900.9052942459
         290.0000000000        22274.4047343681
         300.0000000000        18107.6366902346
         310.0000000000        13748.3459923774
         320.0000000000         9500.5602734592
         330.0000000000         5691.5297124551
         340.0000000000         2675.5261327678
         350.0000000000          708.7878182470
         360.0000000000            0.0000000000
