             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000           45.5786775813
          20.0000000000         1051.1372467671
          30.0000000000         2883.7020164685
          40.0000000000         5263.3736976093
          50.0000000000         6194.1947878181
          60.0000000000         7181.7949380538
          70.0000000000         8454.0780379623
          80.0000000000         9652.6869862845
          90.0000000000        10458.9018533150
         100.0000000000        10683.3505851224
         110.0000000000        10349.4132581356
         120.0000000000         9657.3866310281
         130.0000000000         8895.3930581797
         140.0000000000         8334.1872123602
         150.0000000000         8165.8480380326
         160.0000000000         8468.8884825922
         170.0000000000         9182.7461411774
         180.0000000000        10145.0784807004
         190.0000000000        11081.6389136454
         200.0000000000        11684.2226372236
         210.0000000000        11742.0729010576
         220.0000000000        11174.8966687192
         230.0000000000        10112.1914695331
         240.0000000000         8908.7647288801
         250.0000000000         7989.7688900417
         260.0000000000         7684.7803244446
         270.0000000000         8230.1754100214
         280.0000000000         9607.0899302493
         290.0000000000        11609.6794451216
         300.0000000000        13767.2233362607
         310.0000000000         4470.5620073920
         320.0000000000         3668.1409876816
         330.0000000000         2778.7082771200
         340.0000000000         1730.4643311937
         350.0000000000          686.5997189830
         360.0000000000            7.7399735140
