             angle (deg)             energy (J/mol)
           0.0000000000         1273.7166227446
          10.0000000000         1507.7195486835
          20.0000000000         5409.4880156159
          30.0000000000        10817.6370264358
          40.0000000000        16356.7879780584
          50.0000000000        20929.1484913840
          60.0000000000        23714.0319442341
          70.0000000000        24298.9066710990
          80.0000000000        23009.3661607513
          90.0000000000        20684.1578486268
         100.0000000000        18460.5485046168
         110.0000000000        17515.9697951312
         120.0000000000        18878.4992015362
         130.0000000000        23370.9657542214
         140.0000000000        30753.6376864000
         150.0000000000        39342.2778430810
         160.0000000000        46773.9652322254
         170.0000000000        39256.5342686825
         290.0000000000         9174.5729599924
         300.0000000000        12808.6927204740
         310.0000000000        12141.5820869385
         320.0000000000         9054.1465325615
         330.0000000000         4755.1189329119
         340.0000000000          887.7760200605
         350.0000000000            0.0000000000
         360.0000000000         1289.9763433416
