             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          621.5293304821
          20.0000000000         2281.8245523452
          30.0000000000         4473.7283601660
          40.0000000000         6687.6837412096
          50.0000000000         8539.6509547347
          60.0000000000         9865.8093116426
          70.0000000000        10769.1282909566
          80.0000000000        11509.8815699657
          90.0000000000        12328.4441628351
         100.0000000000        13244.9536534842
         110.0000000000         8583.3156428635
         120.0000000000         4574.8862441932
         130.0000000000         3189.6042559053
         140.0000000000         4252.2516941084
         150.0000000000         6850.5198678266
         160.0000000000         9838.8270495950
         170.0000000000        12164.6996131733
         180.0000000000        13310.6042774365
         190.0000000000        13794.6650607003
         200.0000000000        13864.2644364678
         210.0000000000        13750.0972006201
         220.0000000000        13679.7626849060
         230.0000000000        13870.9594611942
         240.0000000000        14436.3634812147
         250.0000000000        15365.3047135559
         260.0000000000        16539.3337321664
         270.0000000000        17722.6780244109
         280.0000000000        18640.0276749350
         290.0000000000        19026.5485130705
         300.0000000000        18751.6087933109
         310.0000000000        17913.7566531117
         320.0000000000        16801.6999330994
         330.0000000000        15854.8974251711
         340.0000000000        15523.8428969875
         350.0000000000        16165.2656399474
         360.0000000000        17996.0345676343
