             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000           92.6827705666
          20.0000000000          318.6070333606
          30.0000000000          620.5631464543
          40.0000000000          968.8225751875
          50.0000000000         1345.9572513456
          60.0000000000         1747.5300802299
          70.0000000000         2166.8197820947
          80.0000000000         2597.5356593929
          90.0000000000         3029.1127006414
         100.0000000000         3454.3071516258
         110.0000000000         3873.3343035949
         120.0000000000         4299.5737035161
         130.0000000000         4746.5072934101
         140.0000000000         5261.3678157381
         150.0000000000         5925.7479293442
         160.0000000000         6846.6551321630
         170.0000000000         8107.2547576865
         180.0000000000         9768.3323785908
         190.0000000000        11769.7614225603
         200.0000000000        13963.0856257075
         210.0000000000        16101.4082323881
         220.0000000000        17911.4908466677
         230.0000000000        19133.5481342902
         240.0000000000        19561.4573522222
         250.0000000000        19054.1792735902
         260.0000000000        17608.2009795729
         270.0000000000        15411.7104236517
         280.0000000000        12732.7973960662
         290.0000000000         9901.1826712975
         300.0000000000         7188.5135921783
         310.0000000000         4799.9178370734
         320.0000000000         2876.3821228174
         330.0000000000         1485.6233418382
         340.0000000000          601.5676549837
         350.0000000000          140.9210794354
         360.0000000000            3.3501377607
