             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          700.2575692756
          20.0000000000         2685.2352312452
          30.0000000000         5561.3889354533
          40.0000000000         8632.4282433414
          50.0000000000        11035.8712001332
          60.0000000000        11947.7650620413
          70.0000000000        11023.2504223612
          80.0000000000         8628.3324635965
          90.0000000000         5565.0436312601
         100.0000000000         2700.4106203762
         110.0000000000          743.1582369664
         120.0000000000           46.8730490533
         130.0000000000          758.4964071581
         140.0000000000         2768.9046606026
         150.0000000000         5654.1714750042
         160.0000000000         8727.0118757016
         170.0000000000        11102.3961155454
         180.0000000000        11991.0884352162
         190.0000000000        11056.4892505199
         200.0000000000         8686.4689068735
         210.0000000000         5628.7513854176
         220.0000000000         2763.7639319210
         230.0000000000          762.2351189673
         240.0000000000           19.8514044766
         250.0000000000          706.3250994559
         260.0000000000         2696.9318329906
         270.0000000000         5591.1778568672
         280.0000000000         8686.1512214669
         290.0000000000        11083.7235605748
         300.0000000000        11971.8566487202
         310.0000000000        11069.1310323672
         320.0000000000         8691.1344201813
         330.0000000000         5626.7481290185
         340.0000000000         2775.6968288411
         350.0000000000          790.0444133801
         360.0000000000           63.8364036333
