             angle (deg)             energy (J/mol)
           0.0000000000            0.0000000000
          10.0000000000          692.1894081682
          20.0000000000         2256.2285543375
          30.0000000000         4283.9887364105
          40.0000000000         6227.0607950594
          50.0000000000         7554.8705915241
          60.0000000000         7883.8562257601
          70.0000000000         7126.8038436249
          80.0000000000         5513.8673880772
          90.0000000000         3478.7137983884
         100.0000000000         1599.1289518534
         110.0000000000          338.3980512328
         120.0000000000           27.8040436179
         130.0000000000          748.0022841674
         140.0000000000         2315.7171300695
         150.0000000000         4340.7362903247
         160.0000000000         6268.4071668546
         170.0000000000         7578.2244127844
         180.0000000000         7868.6913385174
         190.0000000000         7032.5851556167
         200.0000000000         5347.2557925941
         210.0000000000         3314.2341087801
         220.0000000000         1477.2243678146
         230.0000000000          284.7669656752
         240.0000000000            1.7380810314
         250.0000000000          683.9952232065
         260.0000000000         2206.8271489446
         270.0000000000         4179.0186266094
         280.0000000000         6119.8196278701
         290.0000000000         7478.7678525824
         300.0000000000         7884.2237957334
         310.0000000000         7169.6677542587
         320.0000000000         5573.5765058528
         330.0000000000         3544.0257328589
         340.0000000000         1641.7933245187
         350.0000000000          360.4706286800
         360.0000000000            0.6537495655
