             angle (deg)             energy (J/mol)
           0.0000000000          135.7383426033
          10.0000000000          601.4862644534
          20.0000000000         1480.8974420752
          30.0000000000         2520.3144575496
          40.0000000000         3349.8726436535
          50.0000000000         3631.2842204746
          60.0000000000         3254.2466878286
          70.0000000000         2498.8089881933
          80.0000000000         1651.4787932995
          90.0000000000          901.3866112584
         100.0000000000          362.7023033899
         110.0000000000           75.0577898557
         120.0000000000           98.4746231924
         130.0000000000          541.1233972616
         140.0000000000         1340.5198411834
         150.0000000000         2392.0745423413
         160.0000000000         3272.6645693198
         170.0000000000         3605.8588799438
         180.0000000000         3308.4947658947
         190.0000000000         2564.1681816092
         200.0000000000         1657.0737335782
         210.0000000000          835.4550588074
         220.0000000000          239.9995674773
         230.0000000000            0.0000000000
         240.0000000000          128.9041665128
         250.0000000000          659.1737473760
         260.0000000000         1506.0628581824
         270.0000000000         2484.1140653801
         280.0000000000         3264.6777988921
         290.0000000000         3555.7302111699
         300.0000000000         3337.6430654020
         310.0000000000         2713.5512469954
         320.0000000000         1861.1275825146
         330.0000000000         1040.5144743008
         340.0000000000          384.4519441879
         350.0000000000           37.2610939388
         360.0000000000           84.0422504241
